continent,country_of_birth,persons,women,men,check_sum_jurisdictions,universe,source_table,source_file,source_page
África,Togo,8,3,5,8,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Túnez,56,17,39,56,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Uganda,8,4,4,8,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Zambia,6,3,3,6,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Zimbabwe,11,5,6,11,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Indeterminado (África),127,33,94,127,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Antigua y Barbuda,26,14,12,26,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Aruba,25,13,12,25,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Bahamas,14,6,8,14,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Barbados,15,12,3,15,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Belice,8,2,6,8,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Bolivia,338299,177186,161113,338299,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Brasil,49943,30520,19423,49943,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Canadá,1377,708,669,1377,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Chile,149082,83659,65423,149082,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Colombia,46482,24399,22083,46482,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Costa Rica,706,365,341,706,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Cuba,3921,1744,2177,3921,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Dominica,78,57,21,78,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Ecuador,8879,4862,4017,8879,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,El Salvador,830,433,397,830,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Estados Unidos,13986,6846,7140,13986,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Granada,4,4,0,4,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Guatemala,546,284,262,546,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Guyana,20,16,4,20,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Haití,1524,643,881,1524,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Honduras,525,301,224,525,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Jamaica,34,12,22,34,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,México,5833,3116,2717,5833,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Nicaragua,371,207,164,371,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Panamá,572,293,279,572,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Paraguay,522598,298850,223748,522598,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Perú,156251,85768,70483,156251,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,Puerto Rico,219,133,86,219,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,República Dominicana,7817,5031,2786,7817,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
América,San Cristóbal y Nevis,1,0,1,1,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
